origin IP,country,ISP,outbound IPs,outbound ISPs,outbound countries,time,test_dname_weak,test_ns0,test_ns0_auth,test_ns,test_ns_auth,test_ns2,test_ns2_auth,test_b4,test_u1_auth,test_u3_2,test_u3_3,test_u3_4,test_w7,test_w8,test_ns_a_ns,test_ns_a_a,test_x_ns_a_ns,test_x_ns_a_a,sig guess match
217.6.77.133,DE,Deutsche Telekom AG,194.25.0.52#2789,Deutsche Telekom AG#2789,DE#2789,Sat Nov 26 06:37:24 2016,0/30 (0.000),11/30 (0.367),7/30 (0.233),7/30 (0.233),7/30 (0.233),6/30 (0.200),10/30 (0.333),11/30 (0.367),10/30 (0.333),10/30 (0.333),7/30 (0.233),11/30 (0.367),8/30 (0.267),11/30 (0.367),0/3 (0.000),0/3 (0.000),0/3 (0.000),3/3 (1.000),* Microsoft DNS 6.0
217.6.77.133,DE,Deutsche Telekom AG,194.25.0.52#2273,Deutsche Telekom AG#2273,DE#2273,Fri Nov 25 20:57:45 2016,0/30 (0.000),25/30 (0.833),16/30 (0.533),16/30 (0.533),14/30 (0.467),20/30 (0.667),21/30 (0.700),11/30 (0.367),7/30 (0.233),15/30 (0.500),20/30 (0.667),19/30 (0.633),17/30 (0.567),16/30 (0.533),0/1 (0.000),0/1 (0.000),0/1 (0.000),1/1 (1.000),! PowerDNS
84.165.153.249,DE,Deutsche Telekom AG,217.237.150.36#815|217.237.150.30#387|217.237.150.34#315|217.237.150.29#294|217.237.150.33#268|217.237.150.31#199|217.237.150.32#186|217.237.148.12#88|217.237.150.35#46|217.237.148.7#34|217.237.148.6#31|217.237.148.9#30|217.237.148.11#2,Deutsche Telekom AG#2695,DE#2695,Sat Nov 26 11:38:45 2016,0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),8/30 (0.267),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),9/30 (0.300),3/30 (0.100),0/3 (0.000),0/3 (0.000),0/3 (0.000),3/3 (1.000),
84.165.153.249,DE,Deutsche Telekom AG,217.237.150.31#453|217.237.150.29#437|217.237.150.30#294|217.237.150.36#261|217.237.150.33#250|217.237.150.34#231|217.237.150.35#170|217.237.150.32#166|217.237.148.5#39|217.237.148.12#29|217.237.148.7#23|217.237.148.10#13|217.237.148.6#12|217.237.148.8#10|217.237.148.9#8,Deutsche Telekom AG#2396,DE#2396,Fri Nov 25 20:57:45 2016,0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),21/30 (0.700),0/1 (0.000),0/1 (0.000),0/1 (0.000),1/1 (1.000),
5.196.144.205,DE,ZeXoTeK IT-Services GmbH,74.125.181.11#37|74.125.181.9#36|74.125.47.4#33|74.125.181.6#33|74.125.47.8#33|74.125.47.10#32|74.125.47.7#32|74.125.73.66#31|74.125.181.13#31|74.125.181.12#30|74.125.47.3#30|74.125.47.9#29|74.125.181.8#28|74.125.47.130#28|74.125.47.6#27|74.125.181.4#27|74.125.47.146#27|74.125.73.70#26|74.125.47.140#26|74.125.47.5#26|74.125.73.81#26|74.125.181.3#25|74.125.73.69#25|74.125.73.72#25|74.125.47.2#25|74.125.47.143#25|74.125.181.2#24|74.125.73.75#24|74.125.73.67#24|74.125.73.82#24|74.125.47.154#23|74.125.47.136#23|74.125.73.85#23|74.125.47.137#23|74.125.47.153#23|74.125.73.76#23|74.125.73.79#23|74.125.73.86#23|74.125.47.133#23|74.125.73.89#23|74.125.73.71#23|74.125.181.7#23|74.125.73.83#22|74.125.73.78#22|74.125.73.87#21|74.125.181.15#21|74.125.73.77#21|74.125.47.11#21|74.125.47.151#21|74.125.47.145#21|74.125.73.84#21|74.125.47.129#20|74.125.47.144#20|74.125.181.14#20|74.125.47.13#20|74.125.47.12#20|74.125.181.1#20|74.125.47.152#20|74.125.73.68#19|74.125.47.141#19|74.125.47.147#19|74.125.47.138#18|74.125.47.1#18|74.125.47.142#18|74.125.73.80#18|74.125.73.88#18|74.125.47.135#17|74.125.47.134#17|74.125.73.65#17|74.125.47.131#17|74.125.73.74#17|74.125.47.148#17|74.125.47.149#16|74.125.181.5#16|74.125.47.150#16|74.125.47.132#15|74.125.73.73#15|74.125.181.10#15|74.125.181.207#14|74.125.47.139#12|74.125.181.194#12|74.125.181.206#12|74.125.181.200#11|74.125.181.193#11|74.125.181.214#11|74.125.181.210#10|74.125.181.198#9|74.125.181.199#9|74.125.181.208#8|74.125.181.202#8|74.125.181.212#8|74.125.181.216#8|74.125.181.217#7|74.125.181.209#7|74.125.181.203#7|74.125.181.196#7|74.125.181.204#7|74.125.181.205#6|74.125.181.213#6|74.125.181.215#6|74.125.181.211#5|74.125.181.197#4|74.125.181.195#4|74.125.181.201#4,Google Inc.#2011,US#2011,Fri Nov 25 20:57:46 2016,0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/28 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/1 (0.000),0/1 (0.000),0/1 (0.000),1/1 (1.000),! Non-DNAME resolver forwarding to Google public DNS
5.196.144.205,DE,ZeXoTeK IT-Services GmbH,74.125.47.4#43|74.125.181.7#42|74.125.181.11#40|74.125.181.12#39|74.125.47.2#37|74.125.73.89#37|74.125.181.9#37|74.125.181.8#36|74.125.47.1#36|74.125.47.135#36|74.125.73.86#36|74.125.181.13#35|74.125.47.8#35|74.125.181.1#35|74.125.181.3#34|74.125.181.15#34|74.125.47.9#34|74.125.47.147#33|74.125.181.5#32|74.125.73.73#32|74.125.47.5#32|74.125.181.6#32|74.125.47.3#32|74.125.73.88#31|74.125.47.142#30|74.125.47.10#30|74.125.73.69#30|74.125.73.71#30|74.125.47.11#30|74.125.47.136#29|74.125.47.137#29|74.125.47.144#29|74.125.47.7#29|74.125.181.10#29|74.125.47.12#28|74.125.73.85#27|74.125.73.79#27|74.125.47.151#27|74.125.47.129#26|74.125.73.66#26|74.125.73.70#26|74.125.47.132#26|74.125.73.72#26|74.125.47.13#26|74.125.73.67#26|74.125.73.81#26|74.125.73.87#25|74.125.181.2#25|74.125.47.140#25|74.125.47.134#25|74.125.73.74#25|74.125.47.149#24|74.125.47.138#24|74.125.47.153#24|74.125.181.4#24|74.125.181.14#24|74.125.73.75#24|74.125.47.145#24|74.125.73.68#23|74.125.73.83#23|74.125.73.82#23|74.125.47.139#22|74.125.47.146#22|74.125.73.77#22|74.125.47.141#22|74.125.47.130#22|74.125.47.131#21|74.125.47.150#21|74.125.47.143#21|74.125.73.65#20|74.125.47.133#20|74.125.47.148#20|74.125.47.154#19|74.125.47.6#19|74.125.73.76#18|74.125.73.80#18|74.125.73.84#18|74.125.73.78#17|74.125.47.152#17|74.125.181.199#14|74.125.181.201#14|74.125.181.215#14|74.125.181.216#14|74.125.181.210#13|74.125.181.208#13|74.125.181.194#13|74.125.181.202#11|74.125.181.209#11|74.125.181.204#11|74.125.181.197#10|74.125.181.200#10|74.125.181.196#10|74.125.181.214#10|74.125.181.217#9|74.125.181.213#9|74.125.181.207#8|74.125.181.211#7|74.125.181.198#7|74.125.181.203#7|74.125.181.193#7|74.125.181.206#7|74.125.181.205#6|74.125.181.195#6|74.125.181.212#6,Google Inc.#2430,US#2430,Sat Nov 26 07:55:11 2016,0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/3 (0.000),0/3 (0.000),0/3 (0.000),3/3 (1.000),! Non-DNAME resolver forwarding to Google public DNS
5.78.52.59,DE,ZeXoTeK IT-Services GmbH,213.217.40.138#1022|213.217.40.142#998,ParsOnline Corp.#2020,IR#2020,Fri Nov 25 20:57:46 2016,0/30 (0.000),30/30 (1.000),29/29 (1.000),30/30 (1.000),30/30 (1.000),30/30 (1.000),29/29 (1.000),0/30 (0.000),30/30 (1.000),30/30 (1.000),30/30 (1.000),30/30 (1.000),0/30 (0.000),0/30 (0.000),0/1 (0.000),0/1 (0.000),0/1 (0.000),1/1 (1.000),! Unbound
5.78.52.59,DE,ZeXoTeK IT-Services GmbH,213.217.40.138#489|213.217.40.142#460,ParsOnline Corp.#949,IR#949,Sat Nov 26 09:03:17 2016,0/10 (0.000),10/10 (1.000),10/10 (1.000),10/10 (1.000),10/10 (1.000),10/10 (1.000),10/10 (1.000),0/10 (0.000),10/10 (1.000),10/10 (1.000),10/10 (1.000),10/10 (1.000),0/10 (0.000),0/10 (0.000),0/2 (0.000),0/2 (0.000),0/2 (0.000),2/2 (1.000),! Unbound
5.78.80.78,DE,ZeXoTeK IT-Services GmbH,213.217.40.138#1974|213.217.40.142#1907,ParsOnline Corp.#3881,IR#3881,Fri Nov 25 20:57:46 2016,0/30 (0.000),30/30 (1.000),29/29 (1.000),30/30 (1.000),30/30 (1.000),30/30 (1.000),30/30 (1.000),0/30 (0.000),30/30 (1.000),29/29 (1.000),30/30 (1.000),30/30 (1.000),0/30 (0.000),0/30 (0.000),0/1 (0.000),0/1 (0.000),0/1 (0.000),1/1 (1.000),! Unbound
37.27.152.46,DE,ZeXoTeK IT-Services GmbH,213.217.40.142#741|213.217.40.138#683,ParsOnline Corp.#1424,IR#1424,Fri Nov 25 21:45:31 2016,,,,,,,,,,,,,,,,,,,! DNAME-enabled resolver forwarding to Google public DNS|! Hardened DNS server|! MaraDNS|! Microsoft DNS 6.1|! Microsoft DNS 6.2 and above|! New BIND 9.x|! New BIND 9.x with DNSSEC-validation|! Nominum Vantio CacheServe|! Non-DNAME resolver forwarding to Google public DNS|! Old BIND 9.x|! OpenDNS public DNS|! Unbound|* Ancient BIND 9.x|* Microsoft DNS 6.0
